acme_code;background_education;department_and_role;level_code;level_name;recruitment_code;recruitment_source_name;reason_dimissal_code;reason_dimissal_name
21;7|Undergraduate degree;9| Commercial|14|Manager;#N/A;#N/A;13;Google;#N/A;#N/A
22;7|Undergraduate degree;10|Operations|14|Manager;#N/A;#N/A;11;Next Station;#N/A;#N/A
23;8|Graduate school;11|Communication & Marketing|14|Manager;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
24;7|Undergraduate degree;12|Controlling|14|Manager;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
25;7|Undergraduate degree;13|Audit|14|Manager;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
26;8|Graduate school;14|Information Technology|13|Coordinator;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
27;7|Undergraduate degree;15|Juridical|13|Coordinator;#N/A;#N/A;5;Indeed;#N/A;#N/A
28;7|Undergraduate degree;16|  Sales|13|Coordinator;#N/A;#N/A;13;Google;#N/A;#N/A
29;8|Graduate school;6|Administration|13|Coordinator;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
30;8|Graduate school;7|Finance|13|Coordinator;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
31;8|Graduate school;8|Human Resource|13|Coordinator;#N/A;#N/A;5;Indeed;#N/A;#N/A
32;7|Undergraduate degree;9| Commercial|13|Coordinator;#N/A;#N/A;11;Next Station;#N/A;#N/A
33;8|Graduate school;10|Operations|13|Coordinator;#N/A;#N/A;5;Indeed;#N/A;#N/A
34;7|Undergraduate degree;11|Communication & Marketing|13|Coordinator;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
35;7|Undergraduate degree;12|Controlling|13|Coordinator;#N/A;#N/A;11;Next Station;#N/A;#N/A
36;7|Undergraduate degree;13|Audit|13|Coordinator;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
37;8|Graduate school;14|Information Technology|12|Specialist;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
38;7|Undergraduate degree;15|Juridical|12|Specialist;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
39;8|Graduate school;16|  Sales|12|Specialist;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
40;8|Graduate school;6|Administration|12|Specialist;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
41;8|Graduate school;7|Finance|12|Specialist;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
42;8|Graduate school;8|Human Resource|12|Specialist;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
43;8|Graduate school;9| Commercial|12|Specialist;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
44;8|Graduate school;10|Operations|12|Specialist;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
45;8|Graduate school;11|Communication & Marketing|12|Specialist;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
46;7|Undergraduate degree;12|Controlling|12|Specialist;#N/A;#N/A;11;Next Station;#N/A;#N/A
47;7|Undergraduate degree;13|Audit|12|Specialist;#N/A;#N/A;13;Google;#N/A;#N/A
48;7|Undergraduate degree;14|Information Technology|11|Analyst;5;Junior;9;Empregos Online;#N/A;#N/A
49;7|Undergraduate degree;15|Juridical|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
50;7|Undergraduate degree;16|  Sales|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
51;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
52;8|Graduate school;10|Operations|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
53;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;5;Indeed;#N/A;#N/A
54;8|Graduate school;7|Finance|11|Analyst;7;Senior;6;Learn4Good;#N/A;#N/A
55;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
56;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;7;Senior;13;Google;#N/A;#N/A
57;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
58;7|Undergraduate degree;10|Operations|11|Analyst;6;Pleno;12; recommendation of employee;#N/A;#N/A
59;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
60;7|Undergraduate degree;8|Human Resource|11|Analyst;6;Pleno;10;Jobs in Lisbon;#N/A;#N/A
61;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
62;7|Undergraduate degree;9| Commercial|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
63;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
64;7|Undergraduate degree;10|Operations|11|Analyst;6;Pleno;7;SAPO Emprego;#N/A;#N/A
65;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
66;7|Undergraduate degree;12|Controlling|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
67;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;15;Website;#N/A;#N/A
68;8|Graduate school;6|Administration|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
69;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
70;8|Graduate school;6|Administration|11|Analyst;6;Pleno;11;Next Station;#N/A;#N/A
71;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
72;8|Graduate school;13|Audit|11|Analyst;7;Senior;15;Website;#N/A;#N/A
73;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
74;8|Graduate school;10|Operations|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
75;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
76;7|Undergraduate degree;6|Administration|11|Analyst;5;Junior;9;Empregos Online;#N/A;#N/A
77;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
78;8|Graduate school;13|Audit|11|Analyst;7;Senior;11;Next Station;#N/A;#N/A
79;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
80;8|Graduate school;9| Commercial|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
81;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
82;8|Graduate school;12|Controlling|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
83;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
84;8|Graduate school;11|Communication & Marketing|11|Analyst;7;Senior;11;Next Station;#N/A;#N/A
85;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
86;8|Graduate school;6|Administration|11|Analyst;7;Senior;14;LinkedIn;#N/A;#N/A
87;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;5;Indeed;#N/A;#N/A
88;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
89;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
90;8|Graduate school;11|Communication & Marketing|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
91;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
92;7|Undergraduate degree;6|Administration|11|Analyst;6;Pleno;10;Jobs in Lisbon;#N/A;#N/A
93;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
94;8|Graduate school;7|Finance|11|Analyst;7;Senior;10;Jobs in Lisbon;#N/A;#N/A
95;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;5;Indeed;#N/A;#N/A
96;8|Graduate school;11|Communication & Marketing|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
97;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
98;8|Graduate school;8|Human Resource|11|Analyst;7;Senior;10;Jobs in Lisbon;#N/A;#N/A
99;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
100;8|Graduate school;12|Controlling|11|Analyst;5;Junior;9;Empregos Online;#N/A;#N/A
101;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
102;8|Graduate school;13|Audit|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
103;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
104;8|Graduate school;12|Controlling|11|Analyst;6;Pleno;11;Next Station;#N/A;#N/A
105;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
106;8|Graduate school;9| Commercial|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
107;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
108;8|Graduate school;6|Administration|11|Analyst;7;Senior;10;Jobs in Lisbon;#N/A;#N/A
109;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
110;7|Undergraduate degree;9| Commercial|11|Analyst;7;Senior;14;LinkedIn;5;None
111;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
112;8|Graduate school;5| Presidency|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
113;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
114;7|Undergraduate degree;10|Operations|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
115;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
116;8|Graduate school;10|Operations|11|Analyst;7;Senior;7;SAPO Emprego;#N/A;#N/A
117;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
118;8|Graduate school;13|Audit|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
119;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
120;8|Graduate school;8|Human Resource|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
121;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
122;7|Undergraduate degree;8|Human Resource|11|Analyst;5;Junior;6;Learn4Good;#N/A;#N/A
123;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
124;7|Undergraduate degree;7|Finance|11|Analyst;7;Senior;13;Google;#N/A;#N/A
125;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
126;8|Graduate school;12|Controlling|11|Analyst;7;Senior;10;Jobs in Lisbon;#N/A;#N/A
127;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
128;8|Graduate school;8|Human Resource|11|Analyst;5;Junior;5;Indeed;#N/A;#N/A
129;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
130;7|Undergraduate degree;13|Audit|11|Analyst;5;Junior;15;Website;#N/A;#N/A
131;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
132;7|Undergraduate degree;6|Administration|11|Analyst;5;Junior;15;Website;#N/A;#N/A
133;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
134;8|Graduate school;13|Audit|11|Analyst;7;Senior;15;Website;#N/A;#N/A
135;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
136;8|Graduate school;8|Human Resource|11|Analyst;7;Senior;6;Learn4Good;#N/A;#N/A
137;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
138;8|Graduate school;6|Administration|11|Analyst;5;Junior;10;Jobs in Lisbon;#N/A;#N/A
139;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
140;7|Undergraduate degree;13|Audit|11|Analyst;7;Senior;10;Jobs in Lisbon;#N/A;#N/A
141;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
142;8|Graduate school;8|Human Resource|11|Analyst;6;Pleno;8;Net Empregos;#N/A;#N/A
143;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
144;7|Undergraduate degree;7|Finance|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
145;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
146;7|Undergraduate degree;9| Commercial|11|Analyst;6;Pleno;11;Next Station;#N/A;#N/A
147;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
148;7|Undergraduate degree;12|Controlling|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
149;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
150;8|Graduate school;12|Controlling|11|Analyst;7;Senior;15;Website;#N/A;#N/A
151;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
152;8|Graduate school;10|Operations|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
153;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
154;7|Undergraduate degree;5| Presidency|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
155;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
156;7|Undergraduate degree;7|Finance|11|Analyst;5;Junior;9;Empregos Online;#N/A;#N/A
157;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
158;8|Graduate school;8|Human Resource|11|Analyst;5;Junior;9;Empregos Online;#N/A;#N/A
159;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
160;8|Graduate school;8|Human Resource|11|Analyst;7;Senior;10;Jobs in Lisbon;#N/A;#N/A
161;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
162;7|Undergraduate degree;10|Operations|11|Analyst;6;Pleno;15;Website;#N/A;#N/A
163;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
164;7|Undergraduate degree;5| Presidency|11|Analyst;7;Senior;5;Indeed;#N/A;#N/A
165;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
166;8|Graduate school;5| Presidency|11|Analyst;5;Junior;5;Indeed;#N/A;#N/A
167;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
168;8|Graduate school;9| Commercial|11|Analyst;5;Junior;5;Indeed;#N/A;#N/A
169;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
170;7|Undergraduate degree;5| Presidency|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
171;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
172;8|Graduate school;9| Commercial|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
173;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
174;8|Graduate school;8|Human Resource|11|Analyst;5;Junior;10;Jobs in Lisbon;#N/A;#N/A
175;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
176;7|Undergraduate degree;6|Administration|11|Analyst;6;Pleno;12; recommendation of employee;#N/A;#N/A
177;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
178;7|Undergraduate degree;6|Administration|11|Analyst;6;Pleno;12; recommendation of employee;#N/A;#N/A
179;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
180;7|Undergraduate degree;5| Presidency|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
181;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
182;7|Undergraduate degree;5| Presidency|11|Analyst;5;Junior;6;Learn4Good;#N/A;#N/A
183;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
184;7|Undergraduate degree;10|Operations|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
185;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
186;7|Undergraduate degree;9| Commercial|11|Analyst;6;Pleno;15;Website;#N/A;#N/A
187;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
188;7|Undergraduate degree;12|Controlling|11|Analyst;7;Senior;11;Next Station;#N/A;#N/A
189;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
190;7|Undergraduate degree;6|Administration|11|Analyst;5;Junior;11;Next Station;#N/A;#N/A
191;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
192;7|Undergraduate degree;6|Administration|11|Analyst;7;Senior;14;LinkedIn;#N/A;#N/A
193;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
194;8|Graduate school;13|Audit|11|Analyst;7;Senior;5;Indeed;#N/A;#N/A
195;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
196;8|Graduate school;5| Presidency|11|Analyst;6;Pleno;10;Jobs in Lisbon;#N/A;#N/A
197;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
198;8|Graduate school;7|Finance|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
199;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
200;7|Undergraduate degree;9| Commercial|11|Analyst;6;Pleno;11;Next Station;#N/A;#N/A
201;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
202;8|Graduate school;6|Administration|11|Analyst;7;Senior;11;Next Station;#N/A;#N/A
203;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
204;7|Undergraduate degree;13|Audit|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
205;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
206;8|Graduate school;11|Communication & Marketing|11|Analyst;6;Pleno;7;SAPO Emprego;#N/A;#N/A
207;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
208;8|Graduate school;13|Audit|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
209;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
210;7|Undergraduate degree;12|Controlling|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
211;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
212;8|Graduate school;9| Commercial|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
213;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
214;7|Undergraduate degree;8|Human Resource|11|Analyst;6;Pleno;15;Website;#N/A;#N/A
215;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
216;8|Graduate school;13|Audit|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
217;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
218;8|Graduate school;6|Administration|11|Analyst;7;Senior;15;Website;#N/A;#N/A
219;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
220;7|Undergraduate degree;10|Operations|11|Analyst;6;Pleno;15;Website;#N/A;#N/A
221;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;12; recommendation of employee;11;gross misconduct
222;7|Undergraduate degree;13|Audit|11|Analyst;5;Junior;13;Google;#N/A;#N/A
223;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;15;Website;#N/A;#N/A
224;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;5;Junior;5;Indeed;#N/A;#N/A
225;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
226;7|Undergraduate degree;7|Finance|11|Analyst;5;Junior;5;Indeed;#N/A;#N/A
227;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
228;8|Graduate school;12|Controlling|11|Analyst;7;Senior;13;Google;#N/A;#N/A
229;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
230;7|Undergraduate degree;8|Human Resource|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
231;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
232;7|Undergraduate degree;12|Controlling|11|Analyst;7;Senior;10;Jobs in Lisbon;#N/A;#N/A
233;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
234;8|Graduate school;5| Presidency|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
235;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
236;8|Graduate school;12|Controlling|11|Analyst;5;Junior;9;Empregos Online;#N/A;#N/A
237;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
238;8|Graduate school;10|Operations|11|Analyst;5;Junior;10;Jobs in Lisbon;#N/A;#N/A
239;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
240;8|Graduate school;13|Audit|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
241;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
242;8|Graduate school;11|Communication & Marketing|11|Analyst;5;Junior;11;Next Station;#N/A;#N/A
243;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
244;7|Undergraduate degree;5| Presidency|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
245;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
246;7|Undergraduate degree;6|Administration|11|Analyst;5;Junior;13;Google;#N/A;#N/A
247;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
248;8|Graduate school;12|Controlling|11|Analyst;6;Pleno;12; recommendation of employee;#N/A;#N/A
249;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
250;7|Undergraduate degree;5| Presidency|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
251;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
252;8|Graduate school;8|Human Resource|11|Analyst;7;Senior;8;Net Empregos;#N/A;#N/A
253;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
254;8|Graduate school;13|Audit|11|Analyst;7;Senior;12; recommendation of employee;#N/A;#N/A
255;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
256;8|Graduate school;11|Communication & Marketing|11|Analyst;7;Senior;11;Next Station;#N/A;#N/A
257;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
258;8|Graduate school;8|Human Resource|11|Analyst;5;Junior;14;LinkedIn;#N/A;#N/A
259;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
260;7|Undergraduate degree;12|Controlling|11|Analyst;7;Senior;10;Jobs in Lisbon;#N/A;#N/A
261;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
262;7|Undergraduate degree;8|Human Resource|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
